novel_id,scene_n,nudity_score,nudity_label,is_erotic,word_count,char_n,char_mean,char_std,char_median,char_iqr,char_range,char_min,char_max,amb_n,amb_mean,amb_std,amb_median,amb_iqr,amb_range
Deceptions-CALIFORNIA,58,1,weak,1,137,2,4.0,0.0,4.0,0.0,0.0,4.0,4.0,0,,,,,
Deceptions-CALIFORNIA,59,1,weak,1,155,2,2.0,1.4142135623730951,2.0,1.0,2.0,1.0,3.0,0,,,,,
Deceptions-CALIFORNIA,60,2,strong,1,570,2,3.25,0.3535533905932738,3.25,0.25,0.5,3.0,3.5,0,,,,,
Deceptions-CALIFORNIA,61,1,weak,1,417,2,4.0,0.0,4.0,0.0,0.0,4.0,4.0,0,,,,,
Deceptions-CALIFORNIA,62,1,weak,1,278,2,3.5,0.7071067811865476,3.5,0.5,1.0,3.0,4.0,0,,,,,
Deceptions-CALIFORNIA,63,1,weak,1,528,1,,,,,,,,2,3.5,0.0,3.5,0.0,0.0
Deceptions-CALIFORNIA,64,1,weak,1,615,4,3.25,0.5,3.0,0.25,1.0,3.0,4.0,0,,,,,
Deceptions-CALIFORNIA,65,1,weak,1,157,1,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,66,1,weak,1,1206,11,2.6999999999999997,0.6782329983125269,3.0,0.3999999999999999,2.5,1.0,3.5,0,,,,,
Deceptions-CALIFORNIA,67,1,weak,1,786,2,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Deceptions-CALIFORNIA,68,2,strong,1,265,0,,,,,,,,1,,,,,
Deceptions-CALIFORNIA,69,1,weak,1,477,0,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,70,1,weak,1,1838,20,3.2,0.41039134083406165,3.0,0.0,1.0,3.0,4.0,1,,,,,
Deceptions-CALIFORNIA,71,1,weak,1,710,6,3.0833333333333335,0.4915960401250875,3.0,0.0,1.5,2.5,4.0,0,,,,,
Deceptions-CALIFORNIA,72,0,absent,0,533,5,2.8,1.0954451150103321,3.0,0.0,3.0,1.0,4.0,1,,,,,
Deceptions-CALIFORNIA,73,1,weak,1,283,2,3.5,0.7071067811865476,3.5,0.5,1.0,3.0,4.0,1,,,,,
Deceptions-CALIFORNIA,74,1,weak,1,436,1,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,75,2,strong,1,289,2,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Deceptions-CALIFORNIA,76,1,weak,1,231,1,,,,,,,,0,,,,,
Deceptions-CALIFORNIA,77,1,weak,1,273,3,2.6666666666666665,0.5773502691896258,3.0,0.5,1.0,2.0,3.0,0,,,,,
Finders_Keepers_VERMONT,1,0,absent,0,326,4,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Finders_Keepers_VERMONT,2,0,absent,0,112,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,3,0,absent,0,239,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,4,0,absent,0,1128,8,3.1875,0.37201190457142247,3.0,0.125,1.0,3.0,4.0,2,4.0,0.0,4.0,0.0,0.0
Finders_Keepers_VERMONT,5,0,absent,0,1274,9,3.111111111111111,0.927960727138337,3.0,1.0,3.0,1.0,4.0,2,2.75,0.3535533905932738,2.75,0.25,0.5
Finders_Keepers_VERMONT,6,0,absent,0,128,2,3.5,0.7071067811865476,3.5,0.5,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,7,0,absent,0,736,8,3.25,0.4629100498862757,3.0,0.25,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,8,0,absent,0,304,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,9,0,absent,0,335,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,10,0,absent,0,323,4,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Finders_Keepers_VERMONT,11,0,absent,0,228,1,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,12,0,absent,0,242,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,13,0,absent,0,204,1,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,14,0,absent,0,503,5,3.2,0.4472135954999579,3.0,0.0,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,15,0,absent,0,1948,15,2.966666666666667,0.6113996432854077,3.0,0.0,3.0,1.0,4.0,0,,,,,
Finders_Keepers_VERMONT,16,0,absent,0,1085,6,3.1666666666666665,0.40824829046386296,3.0,0.0,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,17,1,weak,1,305,0,,,,,,,,3,3.0,1.7320508075688772,4.0,1.5,3.0
Finders_Keepers_VERMONT,18,0,absent,0,289,1,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,19,0,absent,0,324,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,20,0,absent,0,212,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,21,0,absent,0,803,6,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Finders_Keepers_VERMONT,22,0,absent,0,523,2,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Finders_Keepers_VERMONT,23,0,absent,0,179,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,24,0,absent,0,439,2,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Finders_Keepers_VERMONT,25,0,absent,0,101,2,3.5,0.7071067811865476,3.5,0.5,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,26,0,absent,0,306,3,2.6666666666666665,0.5773502691896258,3.0,0.5,1.0,2.0,3.0,1,,,,,
Finders_Keepers_VERMONT,27,1,weak,1,294,2,3.5,0.7071067811865476,3.5,0.5,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,28,0,absent,0,1405,9,3.1666666666666665,0.35355339059327373,3.0,0.0,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,29,1,weak,1,553,4,3.75,0.5,4.0,0.25,1.0,3.0,4.0,2,2.0,1.4142135623730951,2.0,1.0,2.0
Finders_Keepers_VERMONT,30,0,absent,0,209,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,31,0,absent,0,271,3,3.3333333333333335,0.5773502691896258,3.0,0.5,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,32,0,absent,0,208,1,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,33,0,absent,0,89,2,3.75,0.3535533905932738,3.75,0.25,0.5,3.5,4.0,1,,,,,
Finders_Keepers_VERMONT,34,0,absent,0,470,4,2.5,1.0,3.0,0.5,2.0,1.0,3.0,0,,,,,
Finders_Keepers_VERMONT,35,0,absent,0,1468,9,3.111111111111111,0.927960727138337,3.0,1.0,3.0,1.0,4.0,0,,,,,
Finders_Keepers_VERMONT,36,2,strong,1,1267,9,3.0,0.5,3.0,0.0,2.0,2.0,4.0,1,,,,,
Finders_Keepers_VERMONT,37,0,absent,0,313,1,,,,,,,,1,,,,,
Finders_Keepers_VERMONT,38,1,weak,1,276,1,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,39,1,weak,1,371,4,3.375,0.75,3.5,1.125,1.5,2.5,4.0,0,,,,,
Finders_Keepers_VERMONT,40,1,weak,1,872,4,3.375,0.47871355387816905,3.25,0.625,1.0,3.0,4.0,2,3.75,1.0606601717798212,3.75,0.75,1.5
Finders_Keepers_VERMONT,41,1,weak,1,4239,23,3.1739130434782608,0.3875533878815898,3.0,0.0,1.0,3.0,4.0,4,2.75,1.5,3.0,2.25,3.0
Finders_Keepers_VERMONT,42,0,absent,0,1886,8,3.25,0.7071067811865476,3.0,1.0,2.0,2.0,4.0,0,,,,,
Finders_Keepers_VERMONT,43,1,weak,1,161,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,44,0,absent,0,260,3,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Finders_Keepers_VERMONT,45,0,absent,0,701,8,3.125,0.3535533905932738,3.0,0.0,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,46,0,absent,0,968,6,3.1666666666666665,0.40824829046386296,3.0,0.0,1.0,3.0,4.0,1,,,,,
Finders_Keepers_VERMONT,47,0,absent,0,622,5,3.2,0.4472135954999579,3.0,0.0,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,48,0,absent,0,840,8,2.625,0.7440238091428449,3.0,0.25,2.0,1.0,3.0,0,,,,,
Finders_Keepers_VERMONT,49,0,absent,0,268,0,,,,,,,,2,3.5,0.7071067811865476,3.5,0.5,1.0
Finders_Keepers_VERMONT,50,1,weak,1,537,6,3.5,0.5477225575051661,3.5,1.0,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,51,0,absent,0,1517,10,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Finders_Keepers_VERMONT,52,2,strong,1,349,0,,,,,,,,2,1.85,1.2020815280171309,1.85,0.8500000000000003,1.7000000000000002
Finders_Keepers_VERMONT,53,0,absent,0,423,2,3.5,0.7071067811865476,3.5,0.5,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,54,1,weak,1,723,7,3.142857142857143,1.0690449676496976,3.0,1.0,3.0,1.0,4.0,0,,,,,
Finders_Keepers_VERMONT,55,2,strong,1,2421,19,3.1052631578947367,0.7374684055082,3.0,0.5,3.0,1.0,4.0,3,4.166666666666667,0.5773502691896258,4.5,0.5,1.0
Finders_Keepers_VERMONT,56,2,strong,1,702,7,3.0714285714285716,1.426784596817013,3.5,1.0,4.0,0.0,4.0,2,3.25,0.3535533905932738,3.25,0.25,0.5
Finders_Keepers_VERMONT,57,1,weak,1,503,2,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0,,,,,
Finders_Keepers_VERMONT,58,0,absent,0,518,3,3.3333333333333335,0.5773502691896258,3.0,0.5,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,59,0,absent,0,686,6,3.1666666666666665,0.40824829046386296,3.0,0.0,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,60,0,absent,0,895,9,3.2222222222222223,0.4409585518440984,3.0,0.0,1.0,3.0,4.0,1,,,,,
Finders_Keepers_VERMONT,61,0,absent,0,66,0,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,62,1,weak,1,206,1,,,,,,,,0,,,,,
Finders_Keepers_VERMONT,63,0,absent,0,749,8,3.25,0.4629100498862757,3.0,0.25,1.0,3.0,4.0,0,,,,,
Finders_Keepers_VERMONT,64,0,absent,0,156,0,,,,,,,,0,,,,,
